Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,4,300,8/14/2019 16:36:27,
2,C,F,F,4,300,8/14/2019 16:36:27,
3,C,F,F,4,320,8/14/2019 16:36:27,
4,C,F,F,4,320,8/14/2019 16:36:27,
5,C,F,F,4,311,8/14/2019 16:36:27,
6,C,F,F,4,311,8/14/2019 16:36:27,
7,NA,T,NA,4,NA,8/14/2019 16:36:27,
8,NA,T,NA,4,NA,8/14/2019 16:36:27,
9,HS,F,F,4,300,8/14/2019 16:36:27,
10,HS,F,F,4,300,8/14/2019 16:36:27,
11,HS,F,F,4,320,8/14/2019 16:36:27,
12,HS,F,F,4,320,8/14/2019 16:36:27,
13,HS,F,F,4,311,8/14/2019 16:36:27,
14,HS,F,F,4,311,8/14/2019 16:36:27,
15,HS,T,NA,4,NA,8/14/2019 16:36:27,
16,NA,T,NA,4,NA,8/14/2019 16:36:27,
17,R,F,F,4,300,8/14/2019 16:36:27,
18,R,F,F,4,300,8/14/2019 16:36:27,
19,R,F,F,4,320,8/14/2019 16:36:27,
20,R,F,F,4,320,8/14/2019 16:36:27,
21,R,F,F,4,311,8/14/2019 16:36:27,
22,R,F,F,4,311,8/14/2019 16:36:27,
23,R,T,NA,4,NA,8/14/2019 16:36:27,
24,C,F,F,4,300,8/14/2019 16:36:27,
25,C,F,F,4,300,8/14/2019 16:36:27,
26,C,F,F,4,320,8/14/2019 16:36:27,
27,C,F,F,4,320,8/14/2019 16:36:27,
28,C,F,F,4,311,8/14/2019 16:36:27,
29,C,F,F,4,311,8/14/2019 16:36:27,
30,NA,T,NA,4,NA,8/14/2019 16:36:27,
31,NA,T,NA,4,NA,8/14/2019 16:36:27,
32,HS,F,F,4,300,8/14/2019 16:36:27,
33,HS,F,F,4,300,8/14/2019 16:36:27,
34,HS,F,F,4,320,8/14/2019 16:36:27,
35,HS,F,F,4,320,8/14/2019 16:36:27,
36,HS,F,F,4,311,8/14/2019 16:36:27,
37,HS,F,F,4,311,8/14/2019 16:36:27,
38,NA,T,NA,4,NA,8/14/2019 16:36:27,
39,NA,T,NA,4,NA,8/14/2019 16:36:27,
40,R,F,F,4,300,8/14/2019 16:36:27,
41,R,F,F,4,300,8/14/2019 16:36:27,
42,R,F,F,4,320,8/14/2019 16:36:27,
43,R,F,F,4,320,8/14/2019 16:36:27,
44,R,F,F,4,311,8/14/2019 16:36:27,
45,R,F,F,4,311,8/14/2019 16:36:27,
46,NA,T,NA,4,NA,8/14/2019 16:36:27,
47,C,F,F,4,300,8/14/2019 16:36:27,
48,C,F,F,4,300,8/14/2019 16:36:27,
49,C,F,F,4,320,8/14/2019 16:36:27,
50,C,F,F,4,320,8/14/2019 16:36:27,
51,C,F,F,4,311,8/14/2019 16:36:27,
52,C,F,F,4,311,8/14/2019 16:36:27,
53,NA,T,NA,4,NA,8/14/2019 16:36:27,
54,NA,T,NA,4,NA,8/14/2019 16:36:27,
55,HS,F,F,4,300,8/14/2019 16:36:27,
56,HS,F,F,4,300,8/14/2019 16:36:27,
57,HS,F,F,4,320,8/14/2019 16:36:27,
58,HS,F,F,4,320,8/14/2019 16:36:27,
59,HS,F,F,4,311,8/14/2019 16:36:27,
60,HS,F,F,4,311,8/14/2019 16:36:27,
61,NA,T,NA,4,NA,8/14/2019 16:36:27,
62,NA,T,NA,4,NA,8/14/2019 16:36:27,
63,R,F,F,4,300,8/14/2019 16:36:27,
64,R,F,F,4,300,8/14/2019 16:36:27,
65,R,F,F,4,320,8/14/2019 16:36:27,
66,R,F,F,4,320,8/14/2019 16:36:27,
67,R,F,F,4,311,8/14/2019 16:36:27,
68,R,F,F,4,311,8/14/2019 16:36:27,
69,NA,T,NA,4,NA,8/14/2019 16:36:27,
70,C,F,F,4,300,8/14/2019 16:36:27,
71,C,F,F,4,300,8/14/2019 16:36:27,
72,C,F,F,4,320,8/14/2019 16:36:27,
73,C,F,F,4,320,8/14/2019 16:36:27,
74,C,F,F,4,311,8/14/2019 16:36:27,
75,C,F,F,4,311,8/14/2019 16:36:27,
76,NA,T,NA,4,NA,8/14/2019 16:36:27,
77,NA,T,NA,4,NA,8/14/2019 16:36:27,
78,HS,F,F,4,300,8/14/2019 16:36:27,
79,HS,F,F,4,300,8/14/2019 16:36:27,
80,HS,F,F,4,320,8/14/2019 16:36:27,
81,HS,F,F,4,320,8/14/2019 16:36:27,
82,HS,F,F,4,311,8/14/2019 16:36:27,
83,NA,T,NA,4,NA,8/14/2019 16:36:27,
84,NA,T,NA,4,NA,8/14/2019 16:36:27,
85,NA,T,NA,4,NA,8/14/2019 16:36:27,
86,R,F,F,4,300,8/14/2019 16:36:27,
87,R,F,F,4,300,8/14/2019 16:36:27,
88,R,F,F,4,320,8/14/2019 16:36:27,
89,R,F,F,4,320,8/14/2019 16:36:27,
90,R,F,F,4,311,8/14/2019 16:36:27,
91,R,F,F,4,311,8/14/2019 16:36:27,
92,NA,T,NA,4,NA,8/14/2019 16:36:27,
93,C,F,F,4,300,8/14/2019 16:36:27,
94,C,F,F,4,300,8/14/2019 16:36:27,
95,C,F,F,4,320,8/14/2019 16:36:27,
96,C,F,F,4,320,8/14/2019 16:36:27,
97,C,F,F,4,311,8/14/2019 16:36:27,
98,C,F,F,4,311,8/14/2019 16:36:27,
99,NA,T,NA,4,NA,8/14/2019 16:36:27,
100,NA,T,NA,4,NA,8/14/2019 16:36:27,
101,HS,F,F,4,300,8/14/2019 16:36:27,
102,HS,F,F,4,300,8/14/2019 16:36:27,
103,HS,F,F,4,320,8/14/2019 16:36:27,
104,HS,F,F,4,320,8/14/2019 16:36:27,
105,HS,F,F,4,311,8/14/2019 16:36:27,
106,NA,T,NA,4,NA,8/14/2019 16:36:27,
107,NA,T,NA,4,NA,8/14/2019 16:36:27,
108,NA,T,NA,4,NA,8/14/2019 16:36:27,
109,R,F,F,4,300,8/14/2019 16:36:27,
110,R,F,F,4,300,8/14/2019 16:36:27,
111,R,F,F,4,320,8/14/2019 16:36:27,
112,R,F,F,4,320,8/14/2019 16:36:27,
113,R,F,F,4,311,8/14/2019 16:36:27,
114,NA,T,NA,4,NA,8/14/2019 16:36:27,
115,NA,T,NA,4,NA,8/14/2019 16:36:27,
116,R,F,F,5,341,8/14/2019 16:36:27,
117,R,F,F,5,341,8/14/2019 16:36:27,
118,R,F,F,5,310,8/14/2019 16:36:27,
119,R,F,F,5,310,8/14/2019 16:36:27,
120,R,F,F,5,301,8/14/2019 16:36:27,
121,R,F,F,5,301,8/14/2019 16:36:27,
122,NA,T,NA,5,NA,8/14/2019 16:36:27,
123,NA,T,NA,5,NA,8/14/2019 16:36:27,
124,C,F,F,5,341,8/14/2019 16:36:27,
125,C,F,F,5,341,8/14/2019 16:36:27,
126,C,F,F,5,310,8/14/2019 16:36:27,
127,C,F,F,5,310,8/14/2019 16:36:27,
128,C,F,F,5,301,8/14/2019 16:36:27,
129,C,F,F,5,301,8/14/2019 16:36:27,
130,NA,T,NA,5,NA,8/14/2019 16:36:27,
